Linux 7.0.0-22-generic (ms-a2-gateway) 	06/07/26 	_x86_64_	(32 CPU)

17:23:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:23:59       0    2.02    0.00   15.15    0.00    0.00    1.01    0.00    0.00    0.00   81.82
17:23:59       1    2.02    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   86.87
17:23:59       2    2.04    0.00   11.22    0.00    0.00    1.02    0.00    0.00    0.00   85.71
17:23:59       3    1.02    0.00    9.18    0.00    0.00    1.02    0.00    0.00    0.00   88.78
17:23:59       4    3.00    0.00   15.00    0.00    0.00    0.00    0.00    0.00    0.00   82.00
17:23:59       5    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
17:23:59       6    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
17:23:59       7    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
17:23:59       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:59       9    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
17:23:59      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:59      11    2.04    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   86.73
17:23:59      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:59      13    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
17:23:59      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:59      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:59      16    2.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
17:23:59      17    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
17:23:59      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:59      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:59      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:59      21    1.16    0.00   11.63    0.00    0.00   10.47    0.00    0.00    0.00   76.74
17:23:59      22    0.00    0.00    0.00    0.00    0.00    1.27    0.00    0.00    0.00   98.73
17:23:59      23    1.19    0.00    2.38    0.00    0.00    5.95    0.00    0.00    0.00   90.48
17:23:59      24    2.63    0.00    9.21    0.00    0.00    9.21    0.00    0.00    0.00   78.95
17:23:59      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:59      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:59      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:59      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:59      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:59      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:59      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

17:23:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:24:00     all    0.71    0.00    3.80    0.00    0.00    0.58    0.00    0.00    0.00   94.91
17:24:00       0    3.09    0.00    9.28    0.00    0.00    1.03    0.00    0.00    0.00   86.60
17:24:00       1    1.01    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   91.92
17:24:00       2    1.02    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   87.76
17:24:00       3    1.01    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   92.93
