driver,mtu,proto,dir,offload,load_pct,run,gbps,retr,loss_pct,jitter_ms,cpu_usr,cpu_sys,cpu_soft,cpu_irq,temp_mC
r8125_rust,9000,tcp,rx,default,100,3,2.4731686236152317,0,0,0,0.01,0.21,0.00,1.04,88250
r8125_rust,9000,tcp,bidir,default,100,1,4.913337087376841,0,0,0,0.02,0.32,0.00,0.93,87875
r8125_rust,9000,tcp,bidir,default,100,2,4.923593607625503,0,0,0,0.01,0.38,0.00,1.80,86750
r8125_rust,9000,tcp,bidir,default,100,3,4.923489189294922,0,0,0,0.01,0.25,0.00,1.05,87000
r8125_rust,9000,udp,rx,default,100,1,2.288631773167255,0,0,0.0583518253600665,0.07,0.16,0.00,0.72,88875
r8125_rust,9000,udp,rx,default,100,2,2.286981280598445,0,0,0.047282864750401429,0.01,0.12,0.00,0.56,88500
r8125_rust,9000,udp,rx,default,100,3,2.2903654381190535,0,0,0.0473769507731606,0.01,0.08,0.00,0.29,87500
r8125_rust,9000,tcp,tx,gro-off,100,1,2.476980076814546,0,0,0,0.01,0.31,0.00,0.82,86500
r8125_rust,9000,tcp,tx,gro-off,100,2,2.4764713238423464,0,0,0,0.00,0.01,0.00,0.20,87250
r8125_rust,9000,tcp,tx,gro-off,100,3,2.4763764807476187,0,0,0,0.00,0.18,0.00,0.84,87875
r8125_rust,9000,tcp,rx,gro-off,100,1,2.4728293420302014,0,0,0,0.06,0.20,0.00,0.74,89875
r8125_rust,9000,tcp,rx,gro-off,100,2,2.4727005061280125,0,0,0,0.01,0.18,0.00,0.78,88375
r8125_rust,9000,tcp,rx,gro-off,100,3,2.473057345624912,0,0,0,0.00,0.19,0.00,0.77,87125
r8125_rust,9000,tcp,tx,tso-off,100,1,2.4764781127570092,0,0,0,0.01,0.10,0.00,0.03,86750
r8125_rust,9000,tcp,tx,tso-off,100,2,2.476853592875626,0,0,0,0.00,0.02,0.00,0.01,87750
